Title,Published,Type,Collection,Link
Firestarter,December 1979,Limited Edition,,https://www.stephenking.com/works/limited/firestarter.html
New Tales of the Cthulhu Mythos,December 1979,Anthology,,https://www.stephenking.com/works/anthology/new-tales-of-the-cthulhu-mythos.html
Tales of the Dead,December 1979,Anthology,,https://www.stephenking.com/works/anthology/tales-of-the-dead.html
Arbor House Treasury of Horror & the Supernatural,December 1980,Anthology,,https://www.stephenking.com/works/anthology/arbor-house-treasury-of-horror-the-supernatural.html
The Crate,December 1980,Short Story,,https://www.stephenking.com/works/short/crate.html
Danse Macabre,December 1980,Limited Edition,,https://www.stephenking.com/works/limited/danse-macabre.html
Danse Macabre,December 1980,Nonfiction,,https://www.stephenking.com/works/nonfiction/danse-macabre.html
Fantasy Annual IV,December 1980,Anthology,,https://www.stephenking.com/works/anthology/fantasy-annual-iv.html
Roadwork,December 1980,Bachman Novel,,https://www.stephenking.com/works/novel/roadwork.html
Shadows,December 1980,Anthology,,https://www.stephenking.com/works/anthology/shadows.html
Year's Best Horror Stories - Series IX,December 1980,Anthology,,https://www.stephenking.com/works/anthology/years-best-horror-stories-series-ix.html
Arbor House Celebrity Book of Horror Stories,December 1981,Anthology,,https://www.stephenking.com/works/anthology/arbor-house-celebrity-book-of-horror-stories.html
The Cannibals,December 1981,Unpublished,,https://www.stephenking.com/works/unpublished/cannibals.html
The Dark Tower: The Gunslinger,December 1981,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-the-gunslinger.html
Death,December 1981,Anthology,,https://www.stephenking.com/works/anthology/death.html
The Do-It-Yourself Bestseller: A Workbook,December 1981,Anthology,,https://www.stephenking.com/works/anthology/do-it-yourself-bestseller-a-workbook.html
The Running Man,December 1981,Bachman Novel,,https://www.stephenking.com/works/novel/running-man.html
Terrors,December 1981,Anthology,,https://www.stephenking.com/works/anthology/terrors.html
Christine,December 1982,Limited Edition,,https://www.stephenking.com/works/limited/christine.html
Cycle of the Werewolf,December 1982,Limited Edition,,https://www.stephenking.com/works/limited/cycle-of-the-werewolf.html
The Plant [Installment Two],December 1982,Limited Edition,,https://www.stephenking.com/works/limited/plant-installment-two.html
The Blackboard Jungle,December 1983,Anthology,,https://www.stephenking.com/works/anthology/blackboard-jungle.html
The Eyes of the Dragon,December 1983,Limited Edition,,https://www.stephenking.com/works/limited/eyes-of-the-dragon.html
Magicats,December 1983,Anthology,,https://www.stephenking.com/works/anthology/magicats.html
The Talisman,December 1983,Limited Edition,,https://www.stephenking.com/works/limited/talisman.html
Cat's Eye,December 1984,Unpublished,,https://www.stephenking.com/works/unpublished/cats-eye.html
Isaac Asimov's Magical World of Fantasy #4,December 1984,Anthology,,https://www.stephenking.com/works/anthology/isaac-asimovs-magical-world-of-fantasy-4.html
The Plant [Installment Three],December 1984,Limited Edition,,https://www.stephenking.com/works/limited/plant-installment-three.html
Skeleton Crew,December 1984,Limited Edition,,https://www.stephenking.com/works/limited/skeleton-crew.html
New Adventures of Sherlock Holmes,December 1985,Anthology,,https://www.stephenking.com/works/anthology/new-adventures-of-sherlock-holmes.html
Strange Maine,December 1985,Anthology,,https://www.stephenking.com/works/anthology/strange-maine.html
The Dark Tower: The Drawing of the Three,December 1986,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-the-drawing-of-the-three.html
Demons,December 1986,Anthology,,https://www.stephenking.com/works/anthology/demons.html
My Pretty Pony,December 1987,Limited Edition,,https://www.stephenking.com/works/limited/my-pretty-pony.html
Night Visions 5,December 1987,Anthology,,https://www.stephenking.com/works/anthology/night-visions-5.html
Nightmares in the Sky,December 1987,Nonfiction,,https://www.stephenking.com/works/nonfiction/nightmares-in-the-sky.html
The Reploids,December 1987,Short Story,,https://www.stephenking.com/works/short/reploids.html
The Book of the Dead,December 1988,Anthology,,https://www.stephenking.com/works/anthology/book-of-the-dead.html
Dolan's Cadillac,December 1988,Limited Edition,,https://www.stephenking.com/works/limited/dolans-cadillac.html
The Complete Masters of Darkness,December 1989,Anthology,,https://www.stephenking.com/works/anthology/complete-masters-of-darkness.html
Faces of Fear,December 1989,Interview,,https://www.stephenking.com/works/interview/faces-of-fear.html
The Stand: The Complete and Uncut Edition,December 1989,Limited Edition,,https://www.stephenking.com/works/limited/stand-the-complete-and-uncut-edition.html
"Best American Sports Writing, 1991",December 1990,Anthology,,https://www.stephenking.com/works/anthology/best-american-sports-writing-1991.html
The Color of Evil (Dark Descent),December 1990,Anthology,,https://www.stephenking.com/works/anthology/color-of-evil-(dark-descent).html
The Dark Tower: The Waste Lands,December 1990,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-the-waste-lands.html
I Shudder At Your Touch,December 1990,Anthology,,https://www.stephenking.com/works/anthology/i-shudder-at-your-touch.html
The Revelations of 'Becka Paulson,December 1990,Short Story,,https://www.stephenking.com/works/short/revelations-of-becka-paulson.html
Shock Rock,December 1990,Anthology,,https://www.stephenking.com/works/anthology/shock-rock.html
Mid-Life Confidential: The Rock Bottom Remainders Tour America With Three Chords and an Attitude,December 1993,Nonfiction,,https://www.stephenking.com/works/nonfiction/mid-life-confidential-the-rock-bottom-remainders-tour-america-with-three-chords-and-an-attitude.html
Rose Madder,December 1994,Limited Edition,,https://www.stephenking.com/works/limited/rose-madder.html
Year's Best Fantasy & Horror,December 1994,Anthology,,https://www.stephenking.com/works/anthology/years-best-fantasy-horror.html
Desperation/The Regulators (Box Set),December 1995,Limited Edition,,https://www.stephenking.com/works/limited/desperation-the-regulators-(box-set).html
Desperation,December 1995,Limited Edition,,https://www.stephenking.com/works/limited/desperation.html
The Regulators,December 1995,Limited Edition,,https://www.stephenking.com/works/limited/regulators.html
The Regulators,December 1995,Bachman Novel,,https://www.stephenking.com/works/novel/regulators.html
Dark Thoughts on Writing,December 1996,Anthology,,https://www.stephenking.com/works/anthology/dark-thoughts-on-writing.html
The Dark Tower: Wizard and Glass (I),December 1996,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-wizard-and-glass-(i).html
The Dark Tower: Wizard and Glass (II),December 1996,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-wizard-and-glass-(ii).html
Six Stories,December 1996,Limited Edition,,https://www.stephenking.com/works/limited/six-stories.html
Chinga,December 1997,Unpublished,,https://www.stephenking.com/works/unpublished/chinga.html
Legends,December 1997,Anthology,,https://www.stephenking.com/works/anthology/legends.html
A New Introduction to John Fowles's The Collector,December 1999,Essay,,https://www.stephenking.com/works/essay/a-new-introduction-to-john-fowless-the-collector.html
A Night at the Royal Festival Hall: Muriel Gray Interviews Stephen King,December 1999,Interview,,https://www.stephenking.com/works/interview/a-night-at-the-royal-festival-hall-muriel-gray-interviews-stephen-king.html
Ever Et Raw Meat? and Other Weird Questions,December 1999,Essay,,https://www.stephenking.com/works/essay/ever-et-raw-meat-and-other-weird-questions.html
Foreword to Night Shift,December 1999,Essay,,https://www.stephenking.com/works/essay/foreword-to-night-shift.html
Great Hookers I Have Known,December 1999,Essay,,https://www.stephenking.com/works/essay/great-hookers-i-have-known.html
Horror Fiction: from Danse Macabre,December 1999,Essay,,https://www.stephenking.com/works/essay/horror-fiction-from-danse-macabre.html
The Horror Market Writer and the Ten Bears: A True Story,December 1999,Essay,,https://www.stephenking.com/works/essay/horror-market-writer-and-the-ten-bears-a-true-story.html
How IT Happened,December 1999,Essay,,https://www.stephenking.com/works/essay/how-it-happened.html
Introduction to Jack Ketchum's The Girl Next Door,December 1999,Essay,,https://www.stephenking.com/works/essay/introduction-to-jack-ketchums-the-girl-next-door.html
On Writing: A Memoir of the Craft,December 1999,Nonfiction,,https://www.stephenking.com/works/nonfiction/on-writing-a-memoir-of-the-craft.html
Rush Call,December 1999,Short Story,,https://www.stephenking.com/works/short/rush-call.html
Secret Windows: Essays and Fiction on the Craft of Writing,December 1999,Nonfiction,,https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html
Shadows 4,December 1999,Anthology,,https://www.stephenking.com/works/anthology/shadows-4.html
Turning the Thumbscrews on the Reader,December 1999,Essay,,https://www.stephenking.com/works/essay/turning-the-thumbscrews-on-the-reader.html
"Two Past Midnight: A Note on Secret Window, Secret Garden",December 1999,Essay,,https://www.stephenking.com/works/essay/two-past-midnight-a-note-on-secret-window-secret-garden.html
What Stephen King Does for Love,December 1999,Essay,,https://www.stephenking.com/works/essay/what-stephen-king-does-for-love.html
Black House,December 2001,Limited Edition,,https://www.stephenking.com/works/limited/black-house.html
From a Buick 8,December 2001,Limited Edition,,https://www.stephenking.com/works/limited/from-a-buick-8.html
Stephen King Q&A,December 2001,Interview,,https://www.stephenking.com/works/interview/stephen-king-qa.html
Borderlands 5,December 2002,Anthology,,https://www.stephenking.com/works/anthology/borderlands-5.html
The Dark Tower: Wolves of the Calla,December 2002,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-wolves-of-the-calla.html
From the Borderlands,December 2002,Anthology,,https://www.stephenking.com/works/anthology/from-the-borderlands.html
A Conversation with Stephen King,December 2003,Interview,,https://www.stephenking.com/works/interview/a-conversation-with-stephen-king.html
The Dark Tower,December 2003,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower.html
The Dark Tower: Song of Susannah,December 2003,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-song-of-susannah.html
The Girl Who Loved Tom Gordon,December 2003,Limited Edition,,https://www.stephenking.com/works/limited/girl-who-loved-tom-gordon.html
Contemporary Maine Fiction,December 2004,Anthology,,https://www.stephenking.com/works/anthology/contemporary-maine-fiction.html
The Garden of Reading,December 2004,Anthology,,https://www.stephenking.com/works/anthology/garden-of-reading.html
"Thrilling, Chilling Tales of Alien Encounters",December 2004,Anthology,,https://www.stephenking.com/works/anthology/thrilling-chilling-tales-of-alien-encounters.html
Transgressions,December 2004,Anthology,,https://www.stephenking.com/works/anthology/transgressions.html
The Art of Fiction No. 189,December 2005,Interview,,https://www.stephenking.com/works/interview/art-of-fiction-no-189.html
"The Secretary of Dreams, Vol. 1",December 2005,Limited Edition,,https://www.stephenking.com/works/limited/secretary-of-dreams-vol-1.html
Blaze,December 2006,Bachman Novel,,https://www.stephenking.com/works/novel/blaze.html
The Colorado Kid (Miller),December 2006,Limited Edition,,https://www.stephenking.com/works/limited/colorado-kid-(miller).html
The Colorado Kid (Chadbourne),December 2006,Limited Edition,,https://www.stephenking.com/works/limited/colorado-kid-(chadbourne).html
The Colorado Kid (Potter),December 2006,Limited Edition,,https://www.stephenking.com/works/limited/colorado-kid-(potter).html
The Green Mile,December 2006,Limited Edition,,https://www.stephenking.com/works/limited/green-mile.html
The Best Science Fiction and Fantasy of the Year,December 2008,Anthology,,https://www.stephenking.com/works/anthology/best-science-fiction-and-fantasy-of-the-year.html
"The Genius of ""The Tell-Tale Heart""",December 2008,Essay,,https://www.stephenking.com/works/essay/genius-of-the-tell-tale-heart.html
In the Shadow of the Master,December 2008,Anthology,,https://www.stephenking.com/works/anthology/in-the-shadow-of-the-master.html
Blockade Billy,December 2009,Limited Edition,,https://www.stephenking.com/works/limited/blockade-billy.html
Darkness,December 2009,Anthology,,https://www.stephenking.com/works/anthology/darkness.html
Shivers VI,December 2009,Anthology,,https://www.stephenking.com/works/anthology/shivers-vi.html
The Very Best of Best New Horror,December 2009,Anthology,,https://www.stephenking.com/works/anthology/very-best-of-best-new-horror.html
The Century's Best Horror Fiction Volume Two,December 2010,Anthology,,https://www.stephenking.com/works/anthology/centurys-best-horror-fiction-volume-two.html
Light Speed: Year One,December 2010,Anthology,,https://www.stephenking.com/works/anthology/light-speed-year-one.html
The Weird,December 2010,Anthology,,https://www.stephenking.com/works/anthology/weird.html
Zombies! Zombies! Zombies!,December 2010,Anthology,,https://www.stephenking.com/works/anthology/zombies!-zombies!-zombies!.html
The Shining,December 2012,Limited Edition,,https://www.stephenking.com/works/limited/shining.html
Shivers VII,December 2012,Anthology,,https://www.stephenking.com/works/anthology/shivers-vii.html
Carrie,December 2013,Limited Edition,,https://www.stephenking.com/works/limited/carrie.html
Qualia Nous,December 2013,Anthology,,https://www.stephenking.com/works/anthology/qualia-nous.html
Turn Down the Lights,December 2013,Anthology,,https://www.stephenking.com/works/anthology/turn-down-the-lights.html
'Salem's Lot,December 2014,Limited Edition,,https://www.stephenking.com/works/limited/salems-lot.html
Dark Screams: Volume One,December 2014,Anthology,,https://www.stephenking.com/works/anthology/dark-screams-volume-one.html
Weeds,December 2014,Short Story,,https://www.stephenking.com/works/short/weeds.html
Chiral Mad,December 2015,Anthology,,https://www.stephenking.com/works/anthology/chiral-mad.html
In Sunlight or in Shadow: Stories Inspired by the Paintings of Edward Hopper,December 2016,Anthology,,https://www.stephenking.com/works/anthology/in-sunlight-or-in-shadow-stories-inspired-by-the-paintings-of-edward-hopper.html
Killer Crimes,December 2016,Anthology,,https://www.stephenking.com/works/anthology/killer-crimes.html
The Music Room,December 2016,Short Story,,https://www.stephenking.com/works/short/music-room.html
Revival,December 2019,Limited Edition,,https://www.stephenking.com/works/limited/revival.html
UR,"February 12th, 2009",Novella,,https://www.stephenking.com/works/novella/ur.html
Gwendy's Final Task,"February 15th, 2022",Novel,,https://www.stephenking.com/works/novel/gwendys-final-task.html
The Eyes of the Dragon,February 1987,Novel,,https://www.stephenking.com/works/novel/eyes-of-the-dragon.html
Storm of the Century,February 1999,Screenplay,,https://www.stephenking.com/works/screenplay/storm-of-the-century.html
PostScripts,February 2009,Anthology,,https://www.stephenking.com/works/anthology/postscripts.html
The Dark Tower: The Wind Through the Keyhole,February 2012,Limited Edition,,https://www.stephenking.com/works/limited/dark-tower-the-wind-through-the-keyhole.html
Misery,February 2018,Limited Edition,,https://www.stephenking.com/works/limited/misery.html
Dreamcatcher,"February 20th, 2001",Novel,,https://www.stephenking.com/works/novel/dreamcatcher.html
The Shining,January 1977,Novel,,https://www.stephenking.com/works/novel/shining.html
The Book of Lists #3,January 1983,Anthology,,https://www.stephenking.com/works/anthology/book-of-lists-3.html
The Little Sisters of Eluria,January 2009,Limited Edition,,https://www.stephenking.com/works/limited/little-sisters-of-eluria.html
Stephen King Goes to the Movies,January 2009,Story Collection,,https://www.stephenking.com/works/collection/stephen-king-goes-to-the-movies.html
GUNS,January 2013,Nonfiction,,https://www.stephenking.com/works/nonfiction/guns.html
Duma Key,"January 22nd, 2008",Novel,,https://www.stephenking.com/works/novel/duma-key.html
Cell,"January 24th, 2006",Novel,,https://www.stephenking.com/works/novel/cell.html
Modern Masters of Horror,July 1981,Anthology,,https://www.stephenking.com/works/anthology/modern-masters-of-horror.html
New Terrors Omnibus,July 1985,Anthology,,https://www.stephenking.com/works/anthology/new-terrors-omnibus.html
The Green Mile: Night Journey,July 1996,Novel,,https://www.stephenking.com/works/novel/green-mile-night-journey.html
The Dark Man,July 2013,Limited Edition,,https://www.stephenking.com/works/limited/dark-man.html
The Dark Tower: The Gunslinger,June 1982,Novel,,https://www.stephenking.com/works/novel/dark-tower-the-gunslinger.html
Fear Itself,June 1984,Anthology,,https://www.stephenking.com/works/anthology/fear-itself.html
On Becoming a Brand Name,June 1984,Essay,,https://www.stephenking.com/works/essay/on-becoming-a-brand-name.html
The Ballad of the Flexible Bullet,June 1985,Short Story,,https://www.stephenking.com/works/short/ballad-of-the-flexible-bullet.html
Beachworld,June 1985,Short Story,,https://www.stephenking.com/works/short/beachworld.html
Big Wheels: A Tale of the Laundry Game (Milkman #2),June 1985,Short Story,,https://www.stephenking.com/works/short/big-wheels-a-tale-of-the-laundry-game-(milkman-2).html
Cain Rose Up,June 1985,Short Story,,https://www.stephenking.com/works/short/cain-rose-up.html
For Owen,June 1985,Poem,,https://www.stephenking.com/works/poem/for-owen.html
Gramma,June 1985,Short Story,,https://www.stephenking.com/works/short/gramma.html
Here There Be Tygers,June 1985,Short Story,,https://www.stephenking.com/works/short/here-there-be-tygers.html
The Jaunt,June 1985,Short Story,,https://www.stephenking.com/works/short/jaunt.html
The Man Who Would Not Shake Hands,June 1985,Short Story,,https://www.stephenking.com/works/short/man-who-would-not-shake-hands.html
The Monkey,June 1985,Short Story,,https://www.stephenking.com/works/short/monkey.html
Morning Deliveries (Milkman #1),June 1985,Short Story,,https://www.stephenking.com/works/short/morning-deliveries-(milkman-1).html
Mrs. Todd's Shortcut,June 1985,Short Story,,https://www.stephenking.com/works/short/mrs-todds-shortcut.html
Nona,June 1985,Short Story,,https://www.stephenking.com/works/short/nona.html
Paranoid: A Chant,June 1985,Poem,,https://www.stephenking.com/works/poem/paranoid-a-chant.html
The Raft,June 1985,Short Story,,https://www.stephenking.com/works/short/raft.html
The Reach,June 1985,Short Story,,https://www.stephenking.com/works/short/reach.html
The Reaper's Image,June 1985,Short Story,,https://www.stephenking.com/works/short/reapers-image.html
Skeleton Crew,June 1985,Story Collection,,https://www.stephenking.com/works/collection/skeleton-crew.html
Survivor Type,June 1985,Short Story,,https://www.stephenking.com/works/short/survivor-type.html
Uncle Otto's Truck,June 1985,Short Story,,https://www.stephenking.com/works/short/uncle-ottos-truck.html
The Wedding Gig,June 1985,Short Story,,https://www.stephenking.com/works/short/wedding-gig.html
Word Processor of the Gods,June 1985,Short Story,,https://www.stephenking.com/works/short/word-processor-of-the-gods.html
Masques II,June 1987,Anthology,,https://www.stephenking.com/works/anthology/masques-ii.html
Misery,June 1987,Novel,,https://www.stephenking.com/works/novel/misery.html
Prime Evil,June 1988,Anthology,,https://www.stephenking.com/works/anthology/prime-evil.html
Insomnia,June 1994,Limited Edition,,https://www.stephenking.com/works/limited/insomnia.html
Rose Madder,June 1995,Novel,,https://www.stephenking.com/works/novel/rose-madder.html
The Green Mile: The Bad Death of Eduard Delacroix,June 1996,Novel,,https://www.stephenking.com/works/novel/green-mile-the-bad-death-of-eduard-delacroix.html
The Dark Tower: The Gunslinger (Revised),June 2003,Novel,,https://www.stephenking.com/works/novel/dark-tower-the-gunslinger-(revised).html
The Dark Tower: Song of Susannah,June 2004,Novel,,https://www.stephenking.com/works/novel/dark-tower-song-of-susannah.html
Hard Listening,June 2013,Anthology,,https://www.stephenking.com/works/anthology/hard-listening.html
Joyland,June 2013,Limited Edition,,https://www.stephenking.com/works/limited/joyland.html
Joyland,June 2013,Novel,,https://www.stephenking.com/works/novel/joyland.html
Just A Little Talent,June 2013,Essay,,https://www.stephenking.com/works/essay/just-a-little-talent.html
Mr. Mercedes,June 2014,Novel,,https://www.stephenking.com/works/novel/mr-mercedes.html
Finders Keepers,"June 2nd, 2015",Novel,,https://www.stephenking.com/works/novel/finders-keepers.html
End of Watch,"June 7th, 2016",Novel,,https://www.stephenking.com/works/novel/end-of-watch.html
The Green Mile: The Two Dead Girls,March 1996,Novel,,https://www.stephenking.com/works/novel/green-mile-the-two-dead-girls.html
1408,March 2002,Short Story,,https://www.stephenking.com/works/short/1408.html
All That You Love Will Be Carried Away,March 2002,Short Story,,https://www.stephenking.com/works/short/all-that-you-love-will-be-carried-away.html
Autopsy Room Four,March 2002,Short Story,,https://www.stephenking.com/works/short/autopsy-room-four.html
The Death of Jack Hamilton,March 2002,Short Story,,https://www.stephenking.com/works/short/death-of-jack-hamilton.html
Everything's Eventual,March 2002,Short Story,,https://www.stephenking.com/works/short/everythings-eventual.html
Everything's Eventual,March 2002,Story Collection,,https://www.stephenking.com/works/collection/everythings-eventual.html
In the Deathroom,March 2002,Short Story,,https://www.stephenking.com/works/short/in-the-deathroom.html
L.T.'s Theory of Pets,March 2002,Short Story,,https://www.stephenking.com/works/short/lts-theory-of-pets.html
The Little Sisters of Eluria,March 2002,Short Story,,https://www.stephenking.com/works/short/little-sisters-of-eluria.html
Luckey Quarter,March 2002,Short Story,,https://www.stephenking.com/works/short/luckey-quarter.html
Lunch at the Gotham Cafe,March 2002,Short Story,,https://www.stephenking.com/works/short/lunch-at-the-gotham-cafe.html
The Man in the Black Suit,March 2002,Short Story,,https://www.stephenking.com/works/short/man-in-the-black-suit.html
Riding the Bullet,March 2002,Short Story,,https://www.stephenking.com/works/short/riding-the-bullet.html
The Road Virus Heads North,March 2002,Short Story,,https://www.stephenking.com/works/short/road-virus-heads-north.html
"That Feeling, You Can Only Say What It Is in French",March 2002,Short Story,,https://www.stephenking.com/works/short/that-feeling-you-can-only-say-what-it-is-in-french.html
McSweeney's Mammoth Treasury of Thrilling Tales,March 2003,Anthology,,https://www.stephenking.com/works/anthology/mcsweeneys-mammoth-treasury-of-thrilling-tales.html
The Tale of Gray Dick,March 2003,Short Story,,https://www.stephenking.com/works/short/tale-of-gray-dick.html
35 Scary Years with Stephen King,March 2009,Interview,,https://www.stephenking.com/works/interview/35-scary-years-with-stephen-king.html
He is Legend,March 2009,Anthology,,https://www.stephenking.com/works/anthology/he-is-legend.html
Throttle,March 2009,Short Story,,https://www.stephenking.com/works/short/throttle.html
The Mammoth Book of Body Horror,March 2012,Anthology,,https://www.stephenking.com/works/anthology/mammoth-book-of-body-horror.html
The Blue Air Compressor,March 2018,Short Story,,https://www.stephenking.com/works/short/blue-air-compressor.html
Shining in the Dark,March 2018,Anthology,,https://www.stephenking.com/works/anthology/shining-in-the-dark.html
Later,"March 2nd, 2021",Novel,,https://www.stephenking.com/works/novel/later.html
An Evening with Stephen King,"March 30th, 1999",Speech,,https://www.stephenking.com/works/speech/an-evening-with-stephen-king.html
Later,"March 30th, 2021",Limited Edition,,https://www.stephenking.com/works/limited/later.html
